source_groups,taxon_candidate,benchmark_id,canonical_id,canonical_name_provisional,x_normalized_px,y_normalized_px,visibility,body_axis_length_px
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,1,snout_tip,24.615384615384613,243.1220057616112,2,517.7200015452368
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,2,nape_dorsal_outline,88.0409087021681,197.3834226541868,2,517.7200015452368
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,3,dorsal_fin_origin,199.56930837132603,148.20688305329804,2,517.7200015452368
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,4,dorsal_fin_insertion,316.05813498976306,195.0389669278467,2,517.7200015452368
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,5,upper_caudal_fin_insertion,360.38706914909193,215.73241511840345,2,517.7200015452368
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,6,posterior_caudal_peduncle_midpoint,356.92307692307696,243.1220057616112,2,517.7200015452368
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,7,lower_caudal_fin_insertion,339.4778963174018,268.42749800398457,2,517.7200015452368
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,8,anal_fin_origin,283.1316118907992,295.53689457307655,2,517.7200015452368
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,9,pelvic_fin_origin,186.55020229924907,299.79311694670196,2,517.7200015452368
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,10,pectoral_fin_base,97.2451600571914,283.5046667443453,2,517.7200015452368
鲫鱼,Carassius auratus,flm_9eda61687e011cb8,11,posterior_opercular_margin,129.41292752182414,246.80916140948824,2,517.7200015452368
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,1,snout_tip,24.61538461538462,220.47526452154477,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,1,snout_tip,24.61538461538464,215.57193855670073,2,641.3119365800078
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,2,nape_dorsal_outline,56.411695721449206,205.91829972792468,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,2,nape_dorsal_outline,60.04459238330975,204.61650905716152,2,641.3119365800078
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,3,dorsal_fin_origin,115.68560054880449,197.2891789050399,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,3,dorsal_fin_origin,112.6943229717732,197.27114364818507,2,641.3119365800078
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,4,dorsal_fin_insertion,149.76824698720034,197.30202773170095,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,4,dorsal_fin_insertion,129.94716507691822,201.91704081039103,2,641.3119365800078
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,5,upper_caudal_fin_insertion,356.0115660434765,214.44689737752014,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,5,upper_caudal_fin_insertion,355.1754116079724,209.4054190537519,2,641.3119365800078
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,6,posterior_caudal_peduncle_midpoint,356.923076923077,220.47526452154477,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,6,posterior_caudal_peduncle_midpoint,356.923076923077,215.57193855670073,2,641.3119365800078
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,7,lower_caudal_fin_insertion,351.3655814855127,223.39875049359682,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,7,lower_caudal_fin_insertion,350.82119598934145,219.39127001509164,2,641.3119365800078
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,8,anal_fin_origin,166.57375644650165,246.17367365694855,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,8,anal_fin_origin,165.14690592413612,250.068734963724,2,641.3119365800078
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,9,pelvic_fin_origin,101.84817004820236,250.71082109496007,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,9,pelvic_fin_origin,94.14386158967119,250.7288563518148,2,641.3119365800078
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,10,pectoral_fin_base,61.37965675927188,242.0809444587423,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,10,pectoral_fin_base,61.74216280727404,242.40825652983273,2,641.3119365800078
野生刀鲚,Coilia nasus,flm_64d2a020950239ca,11,posterior_opercular_margin,71.1500557149898,225.68810907926013,2,663.0754104926527
刀鲚,Coilia nasus,flm_65c6b3e376bcb6e9,11,posterior_opercular_margin,75.20880072074999,225.39861704135274,2,641.3119365800078
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,1,snout_tip,24.615384615384585,217.8854853054404,2,652.0007668707146
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,2,nape_dorsal_outline,80.719301023367,191.97814114702885,2,652.0007668707146
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,3,dorsal_fin_origin,183.6889166748848,181.9425825112891,2,652.0007668707146
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,4,dorsal_fin_insertion,225.98319148300914,187.613869152689,2,652.0007668707146
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,5,upper_caudal_fin_insertion,348.29459147197116,194.42723019561686,2,652.0007668707146
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,6,posterior_caudal_peduncle_midpoint,356.9230769230769,217.8854853054404,2,652.0007668707146
