benchmark_id,canonical_id,canonical_name_provisional,x_source_px,y_source_px,x_crop_px,y_crop_px,visibility
flm_235487eee2a44a06,1,snout_tip,42.0,396.0,24.615384615384638,237.11507433375266,2
flm_235487eee2a44a06,2,nape_dorsal_outline,195.0,261.0,113.80848277492515,171.86675196942508,2
flm_235487eee2a44a06,3,dorsal_fin_origin,507.0,246.0,282.8254447693586,179.19954163730216,2
flm_235487eee2a44a06,4,dorsal_fin_insertion,587.0,299.0,323.35307679434624,211.73940266137254,2
flm_235487eee2a44a06,5,upper_caudal_fin_insertion,644.0,301.0,353.99684630444045,215.63574714120995,2
flm_235487eee2a44a06,6,posterior_caudal_peduncle_midpoint,653.0,340.0,356.92307692307685,237.11507433375272,2
flm_235487eee2a44a06,7,lower_caudal_fin_insertion,637.0,376.0,346.5139935279154,255.74055428947753,2
flm_235487eee2a44a06,8,anal_fin_origin,504.0,426.0,272.3095517498065,276.1332480305749,2
flm_235487eee2a44a06,9,pelvic_fin_origin,298.0,436.0,160.71026602077956,271.34358669219756,2
flm_235487eee2a44a06,10,pectoral_fin_base,196.0,429.0,106.04315826447439,262.52605497287357,2
flm_235487eee2a44a06,11,posterior_opercular_margin,263.0,310.0,148.0617114100885,201.65604448439404,2
