benchmark_id,field,value
flm_9eda61687e011cb8,affine_00,0.06570922977050558
flm_9eda61687e011cb8,affine_01,0.6384953458832147
flm_9eda61687e011cb8,affine_02,-55.174217277831005
flm_9eda61687e011cb8,affine_10,-0.6384953458832147
flm_9eda61687e011cb8,affine_11,0.06570922977050558
flm_9eda61687e011cb8,affine_12,360.09063373705175
flm_9eda61687e011cb8,source_width,600.0
flm_9eda61687e011cb8,source_height,800.0
flm_9eda61687e011cb8,output_size,448.0
flm_9eda61687e011cb8,body_axis_length_px,517.7200015452368
flm_9eda61687e011cb8,point_1_source_x,194.0
flm_9eda61687e011cb8,point_1_source_y,105.0
flm_9eda61687e011cb8,point_1_normalized_x,24.615384615384613
flm_9eda61687e011cb8,point_1_normalized_y,243.1220057616112
flm_9eda61687e011cb8,point_2_source_x,275.0
flm_9eda61687e011cb8,point_2_source_y,196.0
flm_9eda61687e011cb8,point_2_normalized_x,88.0409087021681
flm_9eda61687e011cb8,point_2_normalized_y,197.3834226541868
flm_9eda61687e011cb8,point_3_source_x,369.0
flm_9eda61687e011cb8,point_3_source_y,361.0
flm_9eda61687e011cb8,point_3_normalized_x,199.56930837132603
flm_9eda61687e011cb8,point_3_normalized_y,148.20688305329804
flm_9eda61687e011cb8,point_4_source_x,315.0
flm_9eda61687e011cb8,point_4_source_y,549.0
flm_9eda61687e011cb8,point_4_normalized_x,316.05813498976306
flm_9eda61687e011cb8,point_4_normalized_y,195.0389669278467
flm_9eda61687e011cb8,point_5_source_x,290.0
flm_9eda61687e011cb8,point_5_source_y,621.0
flm_9eda61687e011cb8,point_5_normalized_x,360.38706914909193
flm_9eda61687e011cb8,point_5_normalized_y,215.73241511840345
flm_9eda61687e011cb8,point_6_source_x,247.0
flm_9eda61687e011cb8,point_6_source_y,620.0
flm_9eda61687e011cb8,point_6_normalized_x,356.92307692307696
flm_9eda61687e011cb8,point_6_normalized_y,243.1220057616112
flm_9eda61687e011cb8,point_7_source_x,205.0
flm_9eda61687e011cb8,point_7_source_y,597.0
flm_9eda61687e011cb8,point_7_normalized_x,339.4778963174018
flm_9eda61687e011cb8,point_7_normalized_y,268.42749800398457
flm_9eda61687e011cb8,point_8_source_x,154.0
flm_9eda61687e011cb8,point_8_source_y,514.0
flm_9eda61687e011cb8,point_8_normalized_x,283.1316118907992
flm_9eda61687e011cb8,point_8_normalized_y,295.53689457307655
flm_9eda61687e011cb8,point_9_source_x,132.0
flm_9eda61687e011cb8,point_9_source_y,365.0
flm_9eda61687e011cb8,point_9_normalized_x,186.55020229924907
flm_9eda61687e011cb8,point_9_normalized_y,299.79311694670196
flm_9eda61687e011cb8,point_10_source_x,143.0
flm_9eda61687e011cb8,point_10_source_y,224.0
flm_9eda61687e011cb8,point_10_normalized_x,97.2451600571914
flm_9eda61687e011cb8,point_10_normalized_y,283.5046667443453
flm_9eda61687e011cb8,point_11_source_x,205.0
flm_9eda61687e011cb8,point_11_source_y,268.0
flm_9eda61687e011cb8,point_11_normalized_x,129.41292752182414
flm_9eda61687e011cb8,point_11_normalized_y,246.80916140948824
