sample_uid,source_group_code,taxon_candidate,origin_label_source,stored_coordinate_discrepancy
farmed_coilia_nasus__00001,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00002,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00003,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00004,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00005,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00006,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00007,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00008,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00009,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00010,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00011,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00012,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00013,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00014,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00015,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00016,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00017,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00018,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00019,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00020,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00021,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00022,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00023,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00024,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00025,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00026,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00027,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00028,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00029,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00030,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00031,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00032,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00033,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00034,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00035,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00036,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00037,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00038,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00039,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00040,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00041,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00042,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00043,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00044,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00045,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00046,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00047,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00048,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00049,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00050,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00051,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00052,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00053,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00054,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00055,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00056,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00057,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00058,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00059,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00060,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00061,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00062,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00063,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00064,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00065,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00066,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00067,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00068,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00069,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00070,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00071,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00072,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00073,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00074,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00075,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00076,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00077,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00078,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00079,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00080,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00081,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00082,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00083,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00084,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00085,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00086,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00087,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00088,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00089,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00090,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00091,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00092,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00093,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00094,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00095,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00096,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00097,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00098,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00099,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00100,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00101,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_coilia_nasus__00102,farmed_coilia_nasus,Coilia nasus,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00001,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00002,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002899999999783631
farmed_megalobrama_amblycephala__00003,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.00044007272119477134
farmed_megalobrama_amblycephala__00004,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002619999999637912
farmed_megalobrama_amblycephala__00005,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.00019999999999242846
farmed_megalobrama_amblycephala__00006,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.00015999999999394277
farmed_megalobrama_amblycephala__00007,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00008,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00009,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00010,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00011,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00012,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00013,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00014,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00015,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00016,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00017,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00018,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00019,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00020,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00021,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00022,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00023,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00024,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00025,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00026,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.00019999999999242846
farmed_megalobrama_amblycephala__00027,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00028,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00029,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00030,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00031,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00032,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00033,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00034,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00035,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00036,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00037,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0001999999999782176
farmed_megalobrama_amblycephala__00038,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00039,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
farmed_megalobrama_amblycephala__00040,farmed_megalobrama_amblycephala,Megalobrama amblycephala,farmed,0.0002000000000066393
