sample_uid,original_image,width,height
farmed_coilia_nasus__00001,刀鲚/2239169_0.jpg,600,800
farmed_coilia_nasus__00002,刀鲚/2239170_0.jpg,600,800
farmed_coilia_nasus__00003,刀鲚/2239171_0.jpg,600,800
farmed_coilia_nasus__00004,刀鲚/2239172_0.jpg,600,800
farmed_coilia_nasus__00005,刀鲚/2239173_0.jpg,600,800
farmed_coilia_nasus__00006,刀鲚/2239174_0.jpg,600,800
farmed_coilia_nasus__00007,刀鲚/2239175_0.jpg,600,800
farmed_coilia_nasus__00008,刀鲚/2239176_0.jpg,600,800
farmed_coilia_nasus__00009,刀鲚/2239177_0.jpg,600,800
farmed_coilia_nasus__00010,刀鲚/2239178_0.jpg,600,800
farmed_coilia_nasus__00011,刀鲚/2239179_0.jpg,600,800
farmed_coilia_nasus__00012,刀鲚/2239180_0.jpg,600,800
farmed_coilia_nasus__00013,刀鲚/2239181_0.jpg,600,800
farmed_coilia_nasus__00014,刀鲚/2239182_0.jpg,600,800
farmed_coilia_nasus__00015,刀鲚/2239183_0.jpg,600,800
farmed_coilia_nasus__00016,刀鲚/2239184_0.jpg,600,800
farmed_coilia_nasus__00017,刀鲚/2239185_0.jpg,600,800
farmed_coilia_nasus__00018,刀鲚/2239186_0.jpg,600,800
farmed_coilia_nasus__00019,刀鲚/2239187_0.jpg,600,800
farmed_coilia_nasus__00020,刀鲚/2239188_0.jpg,600,800
farmed_coilia_nasus__00021,刀鲚/2239189_0.jpg,600,800
farmed_coilia_nasus__00022,刀鲚/2239190_0.jpg,600,800
farmed_coilia_nasus__00023,刀鲚/2239191_0.jpg,600,800
farmed_coilia_nasus__00024,刀鲚/2239192_0.jpg,600,800
farmed_coilia_nasus__00025,刀鲚/2239193_0.jpg,600,800
farmed_coilia_nasus__00026,刀鲚/2239194_0.jpg,600,800
farmed_coilia_nasus__00027,刀鲚/2239195_0.jpg,600,800
farmed_coilia_nasus__00028,刀鲚/2239196_0.jpg,600,800
farmed_coilia_nasus__00029,刀鲚/2239197_0.jpg,600,800
farmed_coilia_nasus__00030,刀鲚/2239198_0.jpg,600,800
