benchmark_id_left,benchmark_id_right,dhash_hamming_distance,relative_file_size_difference,review_status,automatic_action
flm_22cb69bcba6626e5,flm_dcbaf064c4bb936d,0,0.0045306485045898725,manual_review_required,none
flm_0159a3902887012f,flm_050d7041f378e6a6,1,0.003520171417042917,manual_review_required,none
flm_04334efa2016067e,flm_275fd39926735fad,2,0.00754633532818266,manual_review_required,none
flm_0d967f6ee57012a0,flm_98e5b54ca47fd1b1,2,0.0017176228100309172,manual_review_required,none
flm_20f1d0511ef43702,flm_78961235c3518310,0,0.0007289184118452411,manual_review_required,none
flm_29eba284d33f2041,flm_963e144d289d0a5d,2,0.007739967470619134,manual_review_required,none
flm_3e7d4aec9175c6fd,flm_4abe530ec6f0e206,1,0.0034804586747324917,manual_review_required,none
flm_43a7aeeea0c96b0d,flm_d228d010ead74be2,2,0.0036557910897837506,manual_review_required,none
flm_441b506d4d95176d,flm_9ac381ab26756cea,2,0.009174964438122333,manual_review_required,none
flm_441b506d4d95176d,flm_a52f519ad48d2ee6,2,0.0070866382250822195,manual_review_required,none
flm_4d8c8aafb9642c12,flm_95f89b01d728408b,1,0.0018163793504946805,manual_review_required,none
flm_55a9b7a6277dd0b1,flm_a408a00624d52b34,2,0.001557162949568013,manual_review_required,none
flm_5789c60866d1b157,flm_c89a3a531ea97e71,1,0.004705579209560854,manual_review_required,none
flm_65a1c22123c98e47,flm_c89a3a531ea97e71,2,0.008000098160713629,manual_review_required,none
flm_7fced1bf9a31327f,flm_f4d88dce70fa30fc,2,0.005557115917024435,manual_review_required,none
flm_873dfd7bcf8d93ce,flm_acdf5005c8ec4045,2,0.005719169990688108,manual_review_required,none
flm_8c5c1c1088b07390,flm_c56e5a64c2071a9e,0,0.009551706571574121,manual_review_required,none
flm_94d728e56207cbc8,flm_add9a3e9a857d0ea,2,0.0058080034417798175,manual_review_required,none
flm_9ac381ab26756cea,flm_f4d88dce70fa30fc,2,0.0072424297443966995,manual_review_required,none
flm_a2630d6e813ccc97,flm_b9dfaca0d8d17349,2,0.008112746372666286,manual_review_required,none
flm_a41b60e6f056c147,flm_c20c8bdeec6b3ac3,2,0.00894367014035152,manual_review_required,none
flm_dbba66ca7679d3eb,flm_e67a53df942053b7,1,0.008812183862041363,manual_review_required,none
flm_dddf2042a8a434db,flm_e1f31318db554472,2,0.008702680645363801,manual_review_required,none
flm_cd523d5b5818a603,flm_e4e58b673e2394fc,2,0.005188858451140749,manual_review_required,none
flm_363b4386fa089a9b,flm_64823c35d809d90a,0,0.0022465331094766654,manual_review_required,none
flm_b61d436c8a32af6b,flm_bc6114df412ae943,0,0.008226673369165926,manual_review_required,none
flm_f074357eb0094fca,flm_f7577a7ff860eefc,1,0.001612063609343252,manual_review_required,none
