benchmark_id,selection,target_quantile,annotation_index,source_sample_uid,taxon_candidate,canonical_id,canonical_name,x,y,pairwise_mean_error_image_diagonal
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,1,snout_tip,659.0,316.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,2,nape_dorsal_outline,612.0,328.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,3,dorsal_fin_origin,535.0,328.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,4,dorsal_fin_insertion,490.0,322.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,5,upper_caudal_fin_insertion,196.0,321.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,6,posterior_caudal_peduncle_midpoint,192.0,312.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,7,lower_caudal_fin_insertion,197.0,306.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,8,anal_fin_origin,450.0,260.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,9,pelvic_fin_origin,554.0,263.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,10,pectoral_fin_base,605.0,278.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,1,wild_coilia_nasus__01142,Coilia nasus,11,posterior_opercular_margin,588.0,298.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,1,snout_tip,659.0,317.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,2,nape_dorsal_outline,617.0,329.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,3,dorsal_fin_origin,534.0,330.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,4,dorsal_fin_insertion,489.0,321.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,5,upper_caudal_fin_insertion,197.0,319.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,6,posterior_caudal_peduncle_midpoint,192.0,312.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,7,lower_caudal_fin_insertion,198.0,307.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,8,anal_fin_origin,453.0,261.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,9,pelvic_fin_origin,553.0,263.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,10,pectoral_fin_base,605.0,277.0,0.0017783509321369938
flm_e17e590b8dd8cf2c,q00,0.0,2,wild_coilia_nasus__01206,Coilia nasus,11,posterior_opercular_margin,588.0,297.0,0.0017783509321369938
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,1,snout_tip,777.0,303.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,2,nape_dorsal_outline,675.0,351.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,3,dorsal_fin_origin,483.0,373.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,4,dorsal_fin_insertion,395.0,358.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,5,upper_caudal_fin_insertion,173.0,340.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,6,posterior_caudal_peduncle_midpoint,149.0,302.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,7,lower_caudal_fin_insertion,174.0,260.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,8,anal_fin_origin,305.0,236.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,9,pelvic_fin_origin,456.0,231.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,10,pectoral_fin_base,683.0,253.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,1,farmed_mylopharyngodon_piceus__00012,Mylopharyngodon piceus,11,posterior_opercular_margin,657.0,297.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,2,farmed_mylopharyngodon_piceus__00039,Mylopharyngodon piceus,1,snout_tip,778.0,301.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,2,farmed_mylopharyngodon_piceus__00039,Mylopharyngodon piceus,2,nape_dorsal_outline,677.0,347.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,2,farmed_mylopharyngodon_piceus__00039,Mylopharyngodon piceus,3,dorsal_fin_origin,488.0,370.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,2,farmed_mylopharyngodon_piceus__00039,Mylopharyngodon piceus,4,dorsal_fin_insertion,397.0,358.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,2,farmed_mylopharyngodon_piceus__00039,Mylopharyngodon piceus,5,upper_caudal_fin_insertion,173.0,337.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,2,farmed_mylopharyngodon_piceus__00039,Mylopharyngodon piceus,6,posterior_caudal_peduncle_midpoint,149.0,301.0,0.003237224811739854
flm_f1d51f4bae4bc9a9,q14,0.14285714285714285,2,farmed_mylopharyngodon_piceus__00039,Mylopharyngodon piceus,7,lower_caudal_fin_insertion,170.0,261.0,0.003237224811739854
