benchmark_id,canonical_id,point_label,consensus_record_count,x_mad_px,y_mad_px,radial_mad_px
flm_01976f1ffbd183c7,1,snout tip,2,1.0,0.0,1.0
flm_01976f1ffbd183c7,2,nape dorsal outline,2,2.0,0.0,2.0
flm_01976f1ffbd183c7,3,dorsal fin origin,2,3.5,1.0,3.640054944640259
flm_01976f1ffbd183c7,4,dorsal fin insertion,2,3.0,0.5,3.0413812651491097
flm_01976f1ffbd183c7,5,upper caudal fin insertion,2,9.0,0.0,9.0
flm_01976f1ffbd183c7,6,caudal peduncle midpoint,2,5.0,1.5,5.220153254455275
flm_01976f1ffbd183c7,7,lower caudal fin insertion,2,1.0,0.0,1.0
flm_01976f1ffbd183c7,8,anal fin origin,2,5.5,0.5,5.522680508593631
flm_01976f1ffbd183c7,9,pelvic fin origin,2,8.0,0.5,8.0156097709407
flm_01976f1ffbd183c7,10,pectoral fin base,2,2.0,0.5,2.0615528128088303
flm_01976f1ffbd183c7,11,posterior opercular margin,2,1.0,1.5,1.8027756377319946
flm_07d3a56e878c642a,1,snout tip,2,1.0,0.5,1.118033988749895
flm_07d3a56e878c642a,2,nape dorsal outline,2,2.0,1.0,2.23606797749979
flm_07d3a56e878c642a,3,dorsal fin origin,2,3.0,0.5,3.0413812651491097
flm_07d3a56e878c642a,4,dorsal fin insertion,2,4.0,2.0,4.47213595499958
flm_07d3a56e878c642a,5,upper caudal fin insertion,2,7.0,0.0,7.0
flm_07d3a56e878c642a,6,caudal peduncle midpoint,2,1.5,1.5,2.1213203435596424
flm_07d3a56e878c642a,7,lower caudal fin insertion,2,1.0,0.5,1.118033988749895
flm_07d3a56e878c642a,8,anal fin origin,2,1.0,0.5,1.118033988749895
flm_07d3a56e878c642a,9,pelvic fin origin,2,0.5,1.0,1.118033988749895
flm_07d3a56e878c642a,10,pectoral fin base,2,1.0,1.5,1.8027756377319946
flm_07d3a56e878c642a,11,posterior opercular margin,2,1.0,4.0,4.123105625617661
flm_08f5dc29efbacad9,1,snout tip,2,1.5,0.0,1.5
flm_08f5dc29efbacad9,2,nape dorsal outline,2,9.0,1.5,9.12414379544733
flm_08f5dc29efbacad9,3,dorsal fin origin,2,1.5,1.0,1.8027756377319946
flm_08f5dc29efbacad9,4,dorsal fin insertion,2,1.5,0.5,1.5811388300841898
flm_08f5dc29efbacad9,5,upper caudal fin insertion,2,8.0,0.5,8.0156097709407
flm_08f5dc29efbacad9,6,caudal peduncle midpoint,2,2.0,1.5,2.5
flm_08f5dc29efbacad9,7,lower caudal fin insertion,2,4.5,0.5,4.527692569068709
flm_08f5dc29efbacad9,8,anal fin origin,2,1.5,1.0,1.8027756377319946
flm_08f5dc29efbacad9,9,pelvic fin origin,2,0.0,0.0,0.0
flm_08f5dc29efbacad9,10,pectoral fin base,2,4.0,1.5,4.272001872658765
flm_08f5dc29efbacad9,11,posterior opercular margin,2,1.0,2.0,2.23606797749979
flm_094420ea910542f3,1,snout tip,2,0.0,0.5,0.5
flm_094420ea910542f3,2,nape dorsal outline,2,2.0,1.0,2.23606797749979
flm_094420ea910542f3,3,dorsal fin origin,2,1.0,0.5,1.118033988749895
flm_094420ea910542f3,4,dorsal fin insertion,2,0.5,1.0,1.118033988749895
flm_094420ea910542f3,5,upper caudal fin insertion,2,0.5,0.5,0.7071067811865476
flm_094420ea910542f3,6,caudal peduncle midpoint,2,0.5,0.0,0.5
flm_094420ea910542f3,7,lower caudal fin insertion,2,0.5,1.0,1.118033988749895
flm_094420ea910542f3,8,anal fin origin,2,0.5,1.0,1.118033988749895
flm_094420ea910542f3,9,pelvic fin origin,2,3.0,1.0,3.1622776601683795
flm_094420ea910542f3,10,pectoral fin base,2,1.5,0.5,1.5811388300841898
