benchmark_id,canonical_id,x,y,mean_nme_image_diagonal,ci95_high
flm_92dcc61d5f4b9831,1,20.0,221.0,0.002300334027358742,0.0025348771476460127
flm_92dcc61d5f4b9831,2,124.5,183.0,0.0066437303273627745,0.00793960706344694
flm_92dcc61d5f4b9831,3,327.0,180.0,0.013255676265800608,0.02241976478225047
flm_92dcc61d5f4b9831,4,438.5,201.0,0.006109543925203039,0.007482896802208462
flm_92dcc61d5f4b9831,5,645.5,222.5,0.0074713798075972315,0.008550939146018413
flm_92dcc61d5f4b9831,6,674.5,266.5,0.0036594415107551455,0.004398470152261928
flm_92dcc61d5f4b9831,7,639.5,305.5,0.005057003079771911,0.005907578408604852
flm_92dcc61d5f4b9831,8,513.0,329.0,0.01340230604837128,0.02152339938613497
flm_92dcc61d5f4b9831,9,336.5,330.5,0.0109328322755355,0.016190858927516875
flm_92dcc61d5f4b9831,10,95.5,273.5,0.004861254549655091,0.0057525786668607415
flm_92dcc61d5f4b9831,11,127.0,236.0,0.005459377775507086,0.007002819897045688
