benchmark_id,canonical_id,x,y
flm_120c17d1d7eb7a69,1,51.0,246.0
flm_120c17d1d7eb7a69,2,163.0,200.0
flm_120c17d1d7eb7a69,3,386.0,174.0
flm_120c17d1d7eb7a69,4,464.0,185.0
flm_120c17d1d7eb7a69,5,681.0,215.0
flm_120c17d1d7eb7a69,6,703.0,257.0
flm_120c17d1d7eb7a69,7,688.0,299.0
flm_120c17d1d7eb7a69,8,570.0,327.0
flm_120c17d1d7eb7a69,9,411.0,345.0
flm_120c17d1d7eb7a69,10,137.0,312.0
flm_120c17d1d7eb7a69,11,178.0,260.0
flm_2f11bc4f95af10c4,1,88.0,404.0
flm_2f11bc4f95af10c4,2,232.0,284.0
flm_2f11bc4f95af10c4,3,325.0,243.0
flm_2f11bc4f95af10c4,4,598.0,315.0
flm_2f11bc4f95af10c4,5,634.0,309.0
flm_2f11bc4f95af10c4,6,668.0,345.0
flm_2f11bc4f95af10c4,7,637.0,382.0
flm_2f11bc4f95af10c4,8,507.0,432.0
flm_2f11bc4f95af10c4,9,323.0,440.0
flm_2f11bc4f95af10c4,10,222.0,436.0
flm_2f11bc4f95af10c4,11,292.0,356.0
flm_671ac29dd2f454dc,1,76.0,251.0
flm_671ac29dd2f454dc,2,162.0,202.0
flm_671ac29dd2f454dc,3,364.0,110.0
flm_671ac29dd2f454dc,4,435.0,149.0
flm_671ac29dd2f454dc,5,628.0,207.0
flm_671ac29dd2f454dc,6,642.0,249.0
flm_671ac29dd2f454dc,7,623.0,286.0
flm_671ac29dd2f454dc,8,458.0,380.0
flm_671ac29dd2f454dc,9,316.0,390.0
flm_671ac29dd2f454dc,10,149.0,310.0
flm_671ac29dd2f454dc,11,188.0,263.0
flm_9eda61687e011cb8,1,194.0,105.0
flm_9eda61687e011cb8,2,275.0,196.0
flm_9eda61687e011cb8,3,369.0,361.0
flm_9eda61687e011cb8,4,315.0,549.0
flm_9eda61687e011cb8,5,290.0,621.0
flm_9eda61687e011cb8,6,247.0,620.0
flm_9eda61687e011cb8,7,205.0,597.0
flm_9eda61687e011cb8,8,154.0,514.0
flm_9eda61687e011cb8,9,132.0,365.0
flm_9eda61687e011cb8,10,143.0,224.0
flm_9eda61687e011cb8,11,205.0,268.0
flm_d69a32d9eb39fe81,1,76.0,351.0
flm_d69a32d9eb39fe81,2,130.0,323.0
flm_d69a32d9eb39fe81,3,238.0,297.0
flm_d69a32d9eb39fe81,4,303.0,296.0
flm_d69a32d9eb39fe81,5,734.0,325.0
flm_d69a32d9eb39fe81,6,736.0,333.0
flm_d69a32d9eb39fe81,7,730.0,339.0
flm_d69a32d9eb39fe81,8,357.0,383.0
flm_d69a32d9eb39fe81,9,243.0,392.0
flm_d69a32d9eb39fe81,10,162.0,385.0
flm_d69a32d9eb39fe81,11,176.0,350.0
