benchmark_id,canonical_id,x,y
flm_023f1449aca44f09,1,265.0,777.0
flm_023f1449aca44f09,2,235.0,685.0
flm_023f1449aca44f09,3,203.0,456.0
flm_023f1449aca44f09,4,215.0,391.0
flm_023f1449aca44f09,5,233.0,155.0
flm_023f1449aca44f09,6,266.0,135.0
flm_023f1449aca44f09,7,300.0,153.0
flm_023f1449aca44f09,8,333.0,344.0
flm_023f1449aca44f09,9,344.0,503.0
flm_023f1449aca44f09,10,323.0,699.0
flm_023f1449aca44f09,11,280.0,649.0
flm_0d56890d27761b6c,1,319.0,774.0
flm_0d56890d27761b6c,2,225.0,618.0
flm_0d56890d27761b6c,3,216.0,418.0
flm_0d56890d27761b6c,4,245.0,325.0
flm_0d56890d27761b6c,5,263.0,147.0
flm_0d56890d27761b6c,6,304.0,120.0
flm_0d56890d27761b6c,7,342.0,150.0
flm_0d56890d27761b6c,8,371.0,320.0
flm_0d56890d27761b6c,9,389.0,461.0
flm_0d56890d27761b6c,10,379.0,607.0
flm_0d56890d27761b6c,11,306.0,557.0
flm_1742dbd519aecad3,1,79.0,321.0
flm_1742dbd519aecad3,2,157.0,302.0
flm_1742dbd519aecad3,3,370.0,260.0
flm_1742dbd519aecad3,4,460.0,273.0
flm_1742dbd519aecad3,5,648.0,276.0
flm_1742dbd519aecad3,6,666.0,307.0
flm_1742dbd519aecad3,7,650.0,334.0
flm_1742dbd519aecad3,8,470.0,377.0
flm_1742dbd519aecad3,9,333.0,392.0
flm_1742dbd519aecad3,10,172.0,379.0
flm_1742dbd519aecad3,11,200.0,353.0
flm_64d2a020950239ca,1,243.0,27.0
flm_64d2a020950239ca,2,273.0,90.0
flm_64d2a020950239ca,3,292.0,208.0
flm_64d2a020950239ca,4,293.0,276.0
flm_64d2a020950239ca,5,265.0,688.0
flm_64d2a020950239ca,6,253.0,690.0
flm_64d2a020950239ca,7,247.0,679.0
flm_64d2a020950239ca,8,196.0,311.0
flm_64d2a020950239ca,9,185.0,182.0
flm_64d2a020950239ca,10,201.0,101.0
flm_64d2a020950239ca,11,234.0,120.0
flm_65c6b3e376bcb6e9,1,753.0,233.0
flm_65c6b3e376bcb6e9,2,684.0,252.0
flm_65c6b3e376bcb6e9,3,582.0,263.0
flm_65c6b3e376bcb6e9,4,549.0,253.0
flm_65c6b3e376bcb6e9,5,115.0,225.0
flm_65c6b3e376bcb6e9,6,112.0,213.0
flm_65c6b3e376bcb6e9,7,124.0,206.0
flm_65c6b3e376bcb6e9,8,484.0,158.0
flm_65c6b3e376bcb6e9,9,621.0,161.0
flm_65c6b3e376bcb6e9,10,683.0,179.0
flm_65c6b3e376bcb6e9,11,656.0,211.0
flm_7291efdeae7e541b,1,313.0,783.0
flm_7291efdeae7e541b,2,250.0,646.0
flm_7291efdeae7e541b,3,228.0,433.0
flm_7291efdeae7e541b,4,255.0,339.0
flm_7291efdeae7e541b,5,276.0,146.0
flm_7291efdeae7e541b,6,320.0,120.0
flm_7291efdeae7e541b,7,363.0,147.0
flm_7291efdeae7e541b,8,410.0,318.0
flm_7291efdeae7e541b,9,429.0,477.0
flm_7291efdeae7e541b,10,395.0,675.0
flm_7291efdeae7e541b,11,325.0,616.0
flm_86a8b3cd55d568d8,1,2.0,271.0
flm_86a8b3cd55d568d8,2,137.0,224.0
flm_86a8b3cd55d568d8,3,342.0,188.0
flm_86a8b3cd55d568d8,4,425.0,207.0
flm_86a8b3cd55d568d8,5,641.0,242.0
flm_86a8b3cd55d568d8,6,665.0,289.0
flm_86a8b3cd55d568d8,7,636.0,324.0
flm_86a8b3cd55d568d8,8,481.0,382.0
flm_86a8b3cd55d568d8,9,309.0,411.0
flm_86a8b3cd55d568d8,10,111.0,378.0
flm_86a8b3cd55d568d8,11,169.0,308.0
flm_9aefe4dbc6819c9b,1,311.0,3.0
flm_9aefe4dbc6819c9b,2,355.0,114.0
flm_9aefe4dbc6819c9b,3,364.0,316.0
flm_9aefe4dbc6819c9b,4,337.0,414.0
flm_9aefe4dbc6819c9b,5,315.0,599.0
flm_9aefe4dbc6819c9b,6,277.0,618.0
flm_9aefe4dbc6819c9b,7,242.0,589.0
flm_9aefe4dbc6819c9b,8,195.0,429.0
flm_9aefe4dbc6819c9b,9,190.0,263.0
flm_9aefe4dbc6819c9b,10,215.0,90.0
flm_9aefe4dbc6819c9b,11,280.0,135.0
