benchmark_id,source_groups,taxon_candidate,origin_label,role_id,landmark_name,prompt,target_x,target_y,prediction_x,prediction_y,output_available,error_px,nme_role1_role6,pck_0_02,pck_0_05,pck_0_10,runtime_seconds,raw_response,source_display,selection_rule
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,1,snout_tip,Point to: the frontmost visible tip of the fish snout or closed mouth on the single fish.,314.0,747.0,329.40000000000003,747.2,True,15.4012986465428,0.0270187827031155,0.0,1.0,1.0,0.293537151068449,<ref>the frontmost visible tip of the fish snout or closed mouth on the single fish</ref><box><549><934></box><|im_end|>,F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,2,nape_dorsal_outline,"Point to: the point on the dorsal body outline at the fish nape, immediately behind the head on the single fish.",270.0,675.0,343.79999999999995,175.2,True,505.2192395386383,0.8863154441584667,0.0,0.0,0.0,0.42956463387236,"<ref>the point on the dorsal body outline at the fish nape, immediately behind the head on the single fish</ref><box><573><219></box><box><577><218><1000><725></box><box><580><220></box><|im_end|>",F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,3,dorsal_fin_origin,Point to: the anterior attachment point where the dorsal fin begins on the fish body on the single fish.,178.0,480.0,331.8,175.2,True,341.4051552041944,0.598933370093191,0.0,0.0,0.0,0.2956165336072445,<ref>the anterior attachment point where the dorsal fin begins on the fish body on the single fish</ref><box><553><219></box><|im_end|>,F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,4,dorsal_fin_insertion,Point to: the posterior attachment point where the dorsal fin ends on the fish body on the single fish.,214.0,400.0,331.8,175.2,True,253.79495660867653,0.445237180391652,0.0,0.0,0.0,0.300081720110029,<ref>the posterior attachment point where the dorsal fin ends on the fish body on the single fish</ref><box><553><219></box><|im_end|>,F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,5,upper_caudal_fin_insertion,Point to: the upper attachment point where the caudal fin meets the caudal peduncle on the single fish.,271.0,196.0,330.6,172.0,True,64.25075875038367,0.1127162928936906,0.0,0.0,0.0,0.2975639719516039,<ref>the upper attachment point where the caudal fin meets the caudal peduncle on the single fish</ref><box><551><215></box><|im_end|>,F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,6,posterior_caudal_peduncle_midpoint,"Point to: the midpoint at the posterior end of the caudal peduncle, immediately before the caudal fin on the single fish.",309.0,177.0,307.8,172.0,True,5.141984052872973,0.0090206776049139,1.0,1.0,1.0,0.3324392372742295,"<ref>the midpoint at the posterior end of the caudal peduncle, immediately before the caudal fin on the single fish</ref><box><513><215></box><|im_end|>",F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,7,lower_caudal_fin_insertion,Point to: the lower attachment point where the caudal fin meets the caudal peduncle on the single fish.,348.0,199.0,306.0,174.4,True,48.674017709656965,0.0853897283577467,0.0,0.0,1.0,0.293788525275886,<ref>the lower attachment point where the caudal fin meets the caudal peduncle on the single fish</ref><box><510><218></box><|im_end|>,F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,8,anal_fin_origin,Point to: the anterior attachment point where the anal fin begins on the fish body on the single fish.,424.0,383.0,190.8,511.2,True,266.1155388172588,0.4668514053417202,0.0,0.0,0.0,0.9543704688549042,<ref>the anterior attachment point where the anal fin begins on the fish body on the single fish</ref><box><318><639></box><box><320><638><1000><1000></box><box><323><636><1000><1000></box><box><327><635><1000><1000></box><box><333><634><1000><1000></box><box><338><633><1000><1000></box><box><343><632><1000><1000></box><box><348><631><1000><1000></box><box><353><630><1000><1000></box><box><357><629><1000><1000></box><box><360><628><1000><1000></box><box><363><627><1000><1000></box><box><366><626><1000><1000></box><box><370><625><1000><1000></box><box><373><624><1000><1000></box><box><377><623><1000><1000></box><box><382><622><1000><1000></box><box><385><621><1000><1000></box><box><389><620><1000><1000></box>,F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,9,pelvic_fin_origin,Point to: the anterior attachment point where the pelvic fin begins on the fish body on the single fish.,434.0,516.0,388.2,511.2,True,46.05084146896777,0.0807878418242973,0.0,0.0,1.0,1.0183248431421816,<ref>the anterior attachment point where the pelvic fin begins on the fish body on the single fish</ref><box><647><639></box><box><647><638><1000><646></box><box><650><640><1000><1000></box><box><653><641><1000><1000></box><box><655><642><1000><1000></box><box><658><644><1000><1000></box><box><660><645><1000><1000></box><box><662><648><1000><1000></box><box><664><649><1000><1000></box><box><665><651><1000><1000></box><box><667><652><1000><1000></box><box><668><654><1000><1000></box><box><670><656><1000><1000></box><box><672><657><1000><1000></box><box><674><659><1000><1000></box><box><676><661><1000><1000></box><box><678><663><1000><1000></box><box><680><666><1000><1000></box><box><682><669><1000><1000></box>,F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,10,pectoral_fin_base,"Point to: the base where the pectoral fin attaches to the fish body, just behind the gill cover on the single fish.",370.0,679.0,384.0,648.8000000000001,True,33.28723479053188,0.0583964108633695,0.0,0.0,1.0,0.905679274816066,"<ref>the base where the pectoral fin attaches to the fish body, just behind the gill cover on the single fish</ref><box><640><811></box><box><642><812><1000><810></box><box><648><809><1000><815></box><box><652><814><1000><816></box><box><656><818><1000><820></box><box><659><821><1000><823></box><box><662><824><1000><826></box><box><665><828><1000><829></box><box><668><831><1000><833></box><box><670><834><1000><836></box><box><673><837><1000><840></box><box><676><841><1000><843></box><box><679><845><1000><847></box><box><682><848><1000><852></box><box><685><853><1000><857></box><box><689><858><1000><862></box><box><692><863><1000><868></box><box><696><869><1000><874></box>",F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_3e0cf2609cc04388,团头鲂,Megalobrama amblycephala,farmed,11,posterior_opercular_margin,Point to: the posterior visible margin of the fish operculum or gill cover on the single fish.,330.0,645.0,383.4,648.8000000000001,True,53.535035257296734,0.0939175012326135,0.0,0.0,1.0,0.960289744194597,<ref>the posterior visible margin of the fish operculum or gill cover on the single fish</ref><box><639><811></box><box><643><809><1000><729></box><box><649><810><1000><1000></box><box><653><812><1000><1000></box><box><656><814><1000><1000></box><box><658><815><1000><1000></box><box><660><816><1000><1000></box><box><661><818><1000><1000></box><box><662><819><1000><1000></box><box><663><820><1000><1000></box><box><664><821><1000><1000></box><box><665><823><1000><1000></box><box><666><824><1000><1000></box><box><667><825><1000><1000></box><box><668><826><1000><1000></box><box><669><827><1000><1000></box><box><670><828><1000><1000></box><box><672><829><1000><1000></box><box><673><830><1000><1000></box>,F M. amblycephala,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,1,snout_tip,Point to: the frontmost visible tip of the fish snout or closed mouth on the single fish.,222.0,12.0,211.95,12.8,True,10.081790515578083,0.0150801874826318,1.0,1.0,1.0,0.2721683289855718,<ref>the frontmost visible tip of the fish snout or closed mouth on the single fish</ref><box><471><16></box><|im_end|>,F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,2,nape_dorsal_outline,"Point to: the point on the dorsal body outline at the fish nape, immediately behind the head on the single fish.",269.0,111.0,144.45000000000002,125.6,True,125.40280100540018,0.1875755846232407,0.0,0.0,0.0,0.2726264321245253,"<ref>the point on the dorsal body outline at the fish nape, immediately behind the head on the single fish</ref><box><321><157></box><|im_end|>",F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,3,dorsal_fin_origin,Point to: the anterior attachment point where the dorsal fin begins on the fish body on the single fish.,290.0,344.0,156.6,124.8,True,256.6012470741325,0.3838202061603898,0.0,0.0,0.0,0.2731808768585324,<ref>the anterior attachment point where the dorsal fin begins on the fish body on the single fish</ref><box><348><156></box><|im_end|>,F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,4,dorsal_fin_insertion,Point to: the posterior attachment point where the dorsal fin ends on the fish body on the single fish.,272.0,459.0,175.5,124.8,True,347.8532592919032,0.5203135651808024,0.0,0.0,0.0,0.2719782101921737,<ref>the posterior attachment point where the dorsal fin ends on the fish body on the single fish</ref><box><390><156></box><|im_end|>,F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,5,upper_caudal_fin_insertion,Point to: the upper attachment point where the caudal fin meets the caudal peduncle on the single fish.,244.0,669.0,209.25,648.8000000000001,True,40.19455808937321,0.0601224029434742,0.0,0.0,1.0,0.3089473838917911,<ref>the upper attachment point where the caudal fin meets the caudal peduncle on the single fish</ref><box><465><811></box><box><466><812><1000><810></box><|im_end|>,F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,6,posterior_caudal_peduncle_midpoint,"Point to: the midpoint at the posterior end of the caudal peduncle, immediately before the caudal fin on the single fish.",195.0,680.0,232.2,679.1999999999999,True,37.20860115618432,0.0556560544017171,0.0,0.0,1.0,0.3075105040334165,"<ref>the midpoint at the posterior end of the caudal peduncle, immediately before the caudal fin on the single fish</ref><box><516><849></box><|im_end|>",F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,7,lower_caudal_fin_insertion,Point to: the lower attachment point where the caudal fin meets the caudal peduncle on the single fish.,153.0,656.0,,,False,,,0.0,0.0,0.0,0.2737014656886458,<ref>the lower attachment point where the caudal fin meets the caudal peduncle on the single fish</ref><box>None</box><|im_end|>,F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,8,anal_fin_origin,Point to: the anterior attachment point where the anal fin begins on the fish body on the single fish.,135.0,517.0,169.65,679.1999999999999,True,165.8597675749004,0.2480904941429261,0.0,0.0,0.0,0.3096567429602146,<ref>the anterior attachment point where the anal fin begins on the fish body on the single fish</ref><box><377><849></box><box><377><850><1000><904></box><|im_end|>,F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,9,pelvic_fin_origin,Point to: the anterior attachment point where the pelvic fin begins on the fish body on the single fish.,128.0,338.0,126.9,576.8,True,238.80253348739828,0.3571971636142387,0.0,0.0,0.0,0.3104983442462981,<ref>the anterior attachment point where the pelvic fin begins on the fish body on the single fish</ref><box><282><721></box><box><284><719><1000><717></box><|im_end|>,F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,10,pectoral_fin_base,"Point to: the base where the pectoral fin attaches to the fish body, just behind the gill cover on the single fish.",163.0,94.0,156.6,124.8,True,31.45790838565081,0.047054256437292,0.0,1.0,1.0,0.3124434519559145,"<ref>the base where the pectoral fin attaches to the fish body, just behind the gill cover on the single fish</ref><box><348><156></box><|im_end|>",F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_08e88d7fcddf132c,草鱼,Ctenopharyngodon idella,farmed,11,posterior_opercular_margin,Point to: the posterior visible margin of the fish operculum or gill cover on the single fish.,206.0,123.0,169.65,124.8,True,36.39453942557866,0.0544383933621428,0.0,0.0,1.0,0.3083869121037423,<ref>the posterior visible margin of the fish operculum or gill cover on the single fish</ref><box><377><156></box><box><395><155><1000><997></box><|im_end|>,F C. idella,prespecified six-taxon display spanning the observed zero-shot error range
flm_009d9c9b591675ff,野生刀鲚,Coilia nasus,wild,1,snout_tip,Point to: the frontmost visible tip of the fish snout or closed mouth on the single fish.,246.0,57.0,248.4,59.2,True,3.2557641192199216,0.0051433615616319,1.0,1.0,1.0,0.2929560029879212,<ref>the frontmost visible tip of the fish snout or closed mouth on the single fish</ref><box><414><74></box><|im_end|>,W C. nasus,prespecified six-taxon display spanning the observed zero-shot error range
flm_009d9c9b591675ff,野生刀鲚,Coilia nasus,wild,2,nape_dorsal_outline,"Point to: the point on the dorsal body outline at the fish nape, immediately behind the head on the single fish.",268.0,101.0,202.2,155.20000000000002,True,85.24834309240268,0.1346728555873805,0.0,0.0,0.0,0.2946688998490572,"<ref>the point on the dorsal body outline at the fish nape, immediately behind the head on the single fish</ref><box><337><194></box><|im_end|>",W C. nasus,prespecified six-taxon display spanning the observed zero-shot error range
flm_009d9c9b591675ff,野生刀鲚,Coilia nasus,wild,3,dorsal_fin_origin,Point to: the anterior attachment point where the dorsal fin begins on the fish body on the single fish.,296.0,232.0,196.8,159.20000000000002,True,123.04665781726862,0.1943855349865639,0.0,0.0,0.0,0.2941498369909823,<ref>the anterior attachment point where the dorsal fin begins on the fish body on the single fish</ref><box><328><199></box><|im_end|>,W C. nasus,prespecified six-taxon display spanning the observed zero-shot error range
flm_009d9c9b591675ff,野生刀鲚,Coilia nasus,wild,4,dorsal_fin_insertion,Point to: the posterior attachment point where the dorsal fin ends on the fish body on the single fish.,295.0,286.0,193.8,159.20000000000002,True,162.23341209504284,0.2562916308513077,0.0,0.0,0.0,0.3278896017000079,<ref>the posterior attachment point where the dorsal fin ends on the fish body on the single fish</ref><box><323><199></box><box><327><200><1000><490></box><|im_end|>,W C. nasus,prespecified six-taxon display spanning the observed zero-shot error range
flm_009d9c9b591675ff,野生刀鲚,Coilia nasus,wild,5,upper_caudal_fin_insertion,Point to: the upper attachment point where the caudal fin meets the caudal peduncle on the single fish.,255.0,692.0,247.8,688.8,True,7.879086241436918,0.0124471515229733,1.0,1.0,1.0,0.328315254766494,<ref>the upper attachment point where the caudal fin meets the caudal peduncle on the single fish</ref><box><413><861></box><box><417><862><1000><913></box><|im_end|>,W C. nasus,prespecified six-taxon display spanning the observed zero-shot error range
flm_009d9c9b591675ff,野生刀鲚,Coilia nasus,wild,6,posterior_caudal_peduncle_midpoint,"Point to: the midpoint at the posterior end of the caudal peduncle, immediately before the caudal fin on the single fish.",244.0,690.0,247.8,703.2,True,13.736083866954258,0.0216998662008639,0.0,1.0,1.0,0.3285751300863921,"<ref>the midpoint at the posterior end of the caudal peduncle, immediately before the caudal fin on the single fish</ref><box><413><879></box><|im_end|>",W C. nasus,prespecified six-taxon display spanning the observed zero-shot error range
