source_groups,source_display,image_slot,benchmark_id,complete_11_roles
鲫鱼,F C. auratus,1,flm_0d4ebff3fb847b57,True
鲫鱼,F C. auratus,2,flm_0e098517d3d52af2,True
鲫鱼,F C. auratus,3,flm_0e8af904bb9e275c,True
刀鲚,F C. nasus,1,flm_0422a435815eb5e6,True
刀鲚,F C. nasus,2,flm_19a907233b21a596,True
刀鲚,F C. nasus,3,flm_68c47f563bc89a04,True
野生刀鲚,W C. nasus,1,flm_009d9c9b591675ff,True
野生刀鲚,W C. nasus,2,flm_00c3de9fa67b2339,True
野生刀鲚,W C. nasus,3,flm_011694085eb8578c,True
草鱼,F C. idella,1,flm_0539b486822d62b1,True
草鱼,F C. idella,2,flm_072cb50a5c58a083,True
草鱼,F C. idella,3,flm_08e88d7fcddf132c,False
翘嘴鲌,F C. alburnus,1,flm_06074f129d698e29,True
翘嘴鲌,F C. alburnus,2,flm_1bf366c35bc85703,True
翘嘴鲌,F C. alburnus,3,flm_201b0bd822c94f2e,True
野生翘嘴鲌,W C. alburnus,1,flm_18dacfef55c76c0a,True
野生翘嘴鲌,W C. alburnus,2,flm_1e359139759a8637,True
野生翘嘴鲌,W C. alburnus,3,flm_20c5e636243d060c,True
鲢鱼,F H. molitrix,1,flm_48d2a5f372cacf2d,True
鲢鱼,F H. molitrix,2,flm_4ab41895fcaf70fa,True
鲢鱼,F H. molitrix,3,flm_4dfdc750fdee5301,True
野生鲢鱼,W H. molitrix,1,flm_0210f67ad1497c7f,True
野生鲢鱼,W H. molitrix,2,flm_050d0a35e633e496,True
野生鲢鱼,W H. molitrix,3,flm_2035637c26c97339,True
鳙鱼,F H. nobilis,1,flm_0d2607b5a45cefc9,True
鳙鱼,F H. nobilis,2,flm_2c4fbfcbeddc0261,True
鳙鱼,F H. nobilis,3,flm_48e75883e252235a,True
野生鳙鱼,W H. nobilis,1,flm_1ef85e784f9bb238,True
野生鳙鱼,W H. nobilis,2,flm_29bf47918db6b7be,True
野生鳙鱼,W H. nobilis,3,flm_48932895dae318c7,True
团头鲂,F M. amblycephala,1,flm_241311bce12a7d3b,True
团头鲂,F M. amblycephala,2,flm_3e0cf2609cc04388,True
团头鲂,F M. amblycephala,3,flm_473e0e46a253fcf8,True
青鱼,F M. piceus,1,flm_0e68cdbc72002146,True
青鱼,F M. piceus,2,flm_13f8b3acf69cdef7,True
青鱼,F M. piceus,3,flm_182af1c824cf4e66,True
鳜鱼,F S. chuatsi,1,flm_0900880f754af29d,True
鳜鱼,F S. chuatsi,2,flm_0e1305877a8ced63,True
鳜鱼,F S. chuatsi,3,flm_167e2cf41d1e8c78,True
