role_id,display,queries,outputs,output_rate,nme_mean,nme_ci95_low,nme_ci95_high,pck_0_05_mean_all_queries,pck_0_05_ci95_low,pck_0_05_ci95_high
1,1 snout tip,39,39,1.0,0.015675150985098474,0.011692281050387308,0.020369610871374844,0.9487179487179487,0.8717948717948718,1.0
2,2 nape outline,39,39,1.0,0.3220919496789808,0.2240333877469437,0.4279122499206603,0.23076923076923078,0.10256410256410256,0.358974358974359
3,3 dorsal origin,39,39,1.0,0.2659342126684533,0.21009334882085232,0.32183403437446206,0.1794871794871795,0.07692307692307693,0.3076923076923077
4,4 dorsal insertion,39,39,1.0,0.24793234279083798,0.2027273190725728,0.2912238335915807,0.02564102564102564,0.0,0.07692307692307693
5,5 upper caudal,39,39,1.0,0.07083055559969319,0.0500220101379257,0.1022575160594526,0.4358974358974359,0.28205128205128205,0.5897435897435898
6,6 peduncle midpoint,39,39,1.0,0.03869525923453468,0.030442761882372563,0.046966120733761794,0.6666666666666666,0.5128205128205128,0.8205128205128205
7,7 lower caudal,39,38,0.9743589743589743,0.059304761502222976,0.046711320977964675,0.07305421000550619,0.38461538461538464,0.23076923076923078,0.5384615384615384
8,8 anal origin,39,39,1.0,0.27162170418647785,0.2110730530366389,0.3312772338044902,0.1282051282051282,0.02564102564102564,0.23076923076923078
9,9 pelvic origin,39,39,1.0,0.2695003325934666,0.21960488770719197,0.3207479330141336,0.07692307692307693,0.0,0.1794871794871795
10,10 pectoral base,39,39,1.0,0.12025882794682226,0.09969090630131205,0.1422301419979989,0.1282051282051282,0.02564102564102564,0.23076923076923078
11,11 opercular margin,39,39,1.0,0.13453210934986357,0.09433641777159743,0.17970737644323023,0.10256410256410256,0.02564102564102564,0.20512820512820512
